Country,Year,Discipline,Specialty,RCA_Specialty
Zaire,2014,Biomedical Research,Genetics & Heredity,1.8409336535888687
Bahamas,2014,Biomedical Research,Microbiology,2.353671248070665
Burma,2014,Biomedical Research,Microbiology,2.235987685667132
Iran,2014,Biomedical Research,Microbiology,1.151993655585213
Syria,2014,Biomedical Research,Microbiology,1.4367792357700446
Austria,2014,Arts,Fine Arts & Architecture,1.105194568145593
Bosnia & Herzegovina,2014,Arts,Fine Arts & Architecture,1.638181441066718
Nigeria,2014,Arts,Fine Arts & Architecture,1.3330838908009368
Sudan,2014,Arts,Fine Arts & Architecture,1.7955209015081546
United States,2014,Arts,Fine Arts & Architecture,1.3263333594150208
Australia,2014,Biology,Agricult & Food Science,1.020304426345666
Benin,2014,Biology,Agricult & Food Science,7.47482114576167
Laos,2014,Biology,Agricult & Food Science,4.659924585978446
Mexico,2014,Biology,Agricult & Food Science,2.1351676845287666
Niger,2014,Biology,Agricult & Food Science,7.012645973404682
Sudan,2014,Biology,Agricult & Food Science,3.2301519837616786
Albania,2014,Biology,Botany,1.6628971985558476
Ghana ,2014,Biology,Botany,1.410422012293396
Nepal,2014,Biology,Botany,1.664072390922318
Reunion,2014,Biology,Botany,5.735716183326478
Senegal,2014,Biology,Botany,1.9622186942959
Tajikistan,2014,Biology,Botany,1.2263866839349375
Ecuador,2014,Biology,Dairy & Animal Science,2.066063957761109
Kyrgyzstan,2014,Biology,Dairy & Animal Science,10.486475785613068
Netherlands,2014,Biology,Dairy & Animal Science,1.2132610688916452
Pakistan,2014,Biology,Dairy & Animal Science,1.218369248260908
Peru,2014,Biology,Dairy & Animal Science,1.5838372278937898
Central African Republic,2014,Biology,Ecology,8.86209143420682
France,2014,Biology,Ecology,1.0778859035975914
Indonesia,2014,Biology,Ecology,3.76301115670442
Morocco,2014,Biology,Ecology,1.226587049717207
Tunisia,2014,Biology,Ecology,1.351620737061034
United Kingdom,2014,Biology,Ecology,1.2324721236008915
Peru,2014,Biology,Entomology,2.4733048305046994
Trinidad and Tobago,2014,Biology,General Biology,4.370302180266009
Austria,2014,Biology,General Zoology,1.1828009429213455
Botswana,2014,Biology,General Zoology,1.2552909968063368
Cambodia,2014,Biology,General Zoology,4.588116001427528
Guinea,2014,Biology,General Zoology,6.608041285074867
Jamaica,2014,Biology,General Zoology,1.716795039749843
Nicaragua,2014,Biology,General Zoology,5.2272565389398205
Turkey,2014,Biology,General Zoology,1.2343109488998254
Chile,2014,Biology,Marine Biology & Hydrobiology,4.158703114519181
Finland,2014,Biology,Marine Biology & Hydrobiology,1.0112956823637416
Ivory Coast,2014,Biology,Marine Biology & Hydrobiology,2.3701093355761143
Kiribati,2014,Biology,Marine Biology & Hydrobiology,49.37727782450238
Malaysia,2014,Biology,Marine Biology & Hydrobiology,1.4204600904910951
New Zealand,2014,Biology,Marine Biology & Hydrobiology,2.5484701928465308
Portugal,2014,Arts,Fine Arts & Architecture,1.6658502015739605
Finland,2014,Arts,Performing Arts,1.4090616256053743
France,2014,Arts,Performing Arts,1.091845254976334
Kenya,2014,Arts,Performing Arts,1.2041106042199203
Macedonia,2014,Arts,Performing Arts,2.627720537334097
Costa Rica,2014,Biology,Agricult & Food Science,2.5988040960264414
Dominican Republic,2014,Biology,Agricult & Food Science,1.6500343466834548
El Salvador,2014,Biology,Agricult & Food Science,1.0395216384105763
Ireland,2014,Biology,Agricult & Food Science,1.906961182408584
Turkey,2014,Arts,Fine Arts & Architecture,1.2239786053154087
Bosnia & Herzegovina,2014,Arts,Performing Arts,2.6006306348873536
Algeria,2014,Biology,Agricult & Food Science,1.348386397614043
Guinea,2014,Biology,Agricult & Food Science,1.961361581906748
India,2014,Biology,Agricult & Food Science,1.6666800272274938
Marshall Islands,2014,Biology,Agricult & Food Science,10.395216384105764
Mauritius,2014,Biology,Agricult & Food Science,2.6206427859090167
Oman,2014,Biology,Agricult & Food Science,1.7246965343161904
Zambia,2014,Biology,Agricult & Food Science,1.721062315249299
Bangladesh,2014,Biology,Botany,2.316178240845645
Kenya,2014,Biology,Botany,2.5991202275279823
Mexico,2014,Biology,Botany,2.533380943339777
Peru,2014,Biology,Botany,3.163534881214676
Swaziland,2014,Biology,Botany,1.7313694361434413
Canada,2014,Biology,Dairy & Animal Science,1.5983994933881696
Tunisia,2014,Biology,Dairy & Animal Science,1.5223143281269296
Venezuela,2014,Biology,Dairy & Animal Science,1.217053869855228
Bolivia,2014,Biology,Ecology,11.22531581666197
Brazil,2014,Biology,Ecology,1.1460813940412764
Ethiopia,2014,Biology,Ecology,2.460343192693035
French-Polynesia,2014,Biology,Ecology,3.116339844995805
Iceland,2014,Biology,Ecology,1.4207761818367646
Ivory Coast,2014,Biology,Ecology,3.4030431107354184
Monaco,2014,Biology,Ecology,3.2596198378691748
Tanzania,2014,Biology,Ecology,4.121015607725884
Venezuela,2014,Biology,Ecology,2.152734761345786
Republic of Kosovo,2014,Biology,Entomology,5.548856463709125
United States,2014,Biology,Entomology,1.0384001917795471
Papua New Guinea,2014,Biology,General Biology,3.212498244449268
Fiji,2014,Biology,General Zoology,1.241936837265844
French-Guiana,2014,Biology,General Zoology,4.4332428874552905
Slovakia,2014,Biology,General Zoology,2.093373101012736
Uruguay,2014,Biology,General Zoology,4.777482104319605
Zimbabwe,2014,Biology,General Zoology,2.23358538334801
Angola,2014,Biology,Marine Biology & Hydrobiology,7.796412288079323
Guatemala,2014,Biology,Marine Biology & Hydrobiology,1.1307773547595965
Indonesia,2014,Biology,Marine Biology & Hydrobiology,3.847580090220965
Libya,2014,Biology,Marine Biology & Hydrobiology,1.4594269307734695
Maldives,2014,Biology,Marine Biology & Hydrobiology,15.592824576158646
Montenegro,2014,Biology,Marine Biology & Hydrobiology,5.537638634523631
Philippines,2014,Biology,Marine Biology & Hydrobiology,5.838958303154524
Venezuela,2014,Biology,Marine Biology & Hydrobiology,1.0495170387799089
Chad,2014,Biology,Miscellaneous Biology,13.849212901805371
Czech Republic,2014,Biology,Miscellaneous Biology,1.23982132224721
Finland,2014,Biology,Miscellaneous Biology,2.1961048232187883
Bangladesh,2014,Biology,Miscellaneous Zoology,2.013987553278771
Kenya,2014,Biology,Miscellaneous Zoology,3.970295272096097
Belgium,2014,Biomedical Research,Anatomy & Morphology,1.024942855690412
Germany,2014,Biomedical Research,Anatomy & Morphology,1.2427451892292622
Kazakhstan,2014,Biomedical Research,Anatomy & Morphology,3.034075233989188
Switzerland,2014,Biomedical Research,Anatomy & Morphology,1.2513453125376948
United Arab Emirates,2014,Biomedical Research,Anatomy & Morphology,2.40062452391041
Germany,2014,Biomedical Research,Biochemistry & Molecular Biology,1.200635367876606
India,2014,Biomedical Research,Biochemistry & Molecular Biology,1.1678087260569274
Barbados,2014,Biomedical Research,Biomedical Engineering,2.0994889216694235
Colombia,2014,Biomedical Research,Biomedical Engineering,1.0107782277085555
Ireland,2014,Biomedical Research,Biomedical Engineering,1.6759631700028266
Slovenia,2014,Biomedical Research,Biomedical Engineering,1.0255519532202844
Estonia,2014,Biomedical Research,Biophysics,1.328300917761918
Slovenia,2014,Biomedical Research,Biophysics,1.2783898111325875
Uzbekistan,2014,Biomedical Research,Biophysics,1.843689351893529
Italy,2014,Biomedical Research,Cellular Biology Cytology & Histology,1.1599291874856583
Yemen,2014,Biomedical Research,Embryology,5.285976890756302
Ecuador,2014,Biomedical Research,General Biomedical Research,1.22444101156383
Gambia,2014,Biomedical Research,General Biomedical Research,4.191909816059701
Guatemala,2014,Biomedical Research,General Biomedical Research,1.6319648902217156
Maldives,2014,Biomedical Research,General Biomedical Research,1.2502187170704369
Philippines,2014,Biomedical Research,General Biomedical Research,1.7708753550277911
Singapore,2014,Biomedical Research,General Biomedical Research,1.193896238593997
Thailand,2014,Biomedical Research,General Biomedical Research,1.6441548875856669
Canada,2014,Biomedical Research,Genetics & Heredity,1.2754090248726269
Czech Republic,2014,Biomedical Research,Genetics & Heredity,1.1268763688143046
Gabon,2014,Biomedical Research,Genetics & Heredity,2.6357886762793648
Ivory Coast,2014,Biomedical Research,Genetics & Heredity,1.256744040850001
Kuwait,2014,Biomedical Research,Genetics & Heredity,1.089410576326284
Sierra Leone,2014,Biomedical Research,Genetics & Heredity,1.3542500440193976
Belgium,2014,Biomedical Research,Microbiology,1.2115735755022126
Ireland,2014,Biomedical Research,Microbiology,1.5455361914453505
Israel,2014,Biomedical Research,Microbiology,1.0066058118867978
Papua New Guinea,2014,Biomedical Research,Microbiology,1.33491802129381
Uruguay,2014,Biomedical Research,Microbiology,2.1585610396786583
Colombia,2014,Biomedical Research,Microscopy,1.197485554841291
Germany,2014,Biomedical Research,Microscopy,1.930794288158918
Japan,2014,Biomedical Research,Microscopy,1.9889578363606724
Brunei,2014,Arts,Fine Arts & Architecture,4.708254808399161
Uganda,2014,Arts,Performing Arts,1.074594980123848
Chad,2014,Biology,Agricult & Food Science,3.712577280037773
Estonia,2014,Biology,Agricult & Food Science,1.4610663319669737
Mozambique,2014,Biology,Agricult & Food Science,1.0885043334142164
Slovenia,2014,Biology,Agricult & Food Science,1.2369057571268132
Tanzania,2014,Biology,Agricult & Food Science,1.6784525916209525
Zimbabwe,2014,Biology,Agricult & Food Science,5.03849773719412
Bahamas,2014,Biology,Botany,7.745600109062764
Guinea,2014,Biology,Botany,1.1106898269599434
Pakistan,2014,Biology,Botany,2.926627179819878
Croatia,2014,Biology,Dairy & Animal Science,2.800735768828335
Iraq,2014,Biology,Dairy & Animal Science,1.249947217689153
Mexico,2014,Biology,Dairy & Animal Science,2.46981941429541
Poland,2014,Biology,Dairy & Animal Science,2.542299792290049
Togo,2014,Biology,Dairy & Animal Science,8.124656914979496
French-Guiana,2014,Biology,Ecology,14.358831690866744
Kenya,2014,Biology,Ecology,3.891706023613496
Namibia,2014,Biology,Ecology,8.390145736527165
Sweden,2014,Biology,Ecology,1.7173252957475635
Mali,2014,Biology,Entomology,1.750310428149858
Slovakia,2014,Biology,Entomology,1.1600611789572597
Cameroon,2014,Biology,General Biology,1.616300743765464
French-Polynesia,2014,Biology,General Biology,14.19147576119347
Bahamas,2014,Biology,General Zoology,4.608239317223263
Brunei,2014,Biology,General Zoology,3.891402090099645
Burundi,2014,Biology,General Zoology,7.296378918936832
Cameroon,2014,Biology,General Zoology,2.4108185664572264
Dominican Republic,2014,Biology,General Zoology,8.338718764499237
Russia,2014,Biology,General Zoology,2.3606271341796203
Brazil,2014,Biology,Marine Biology & Hydrobiology,1.8529842051052128
Ecuador,2014,Biology,Marine Biology & Hydrobiology,3.8178307596264727
Guyana,2014,Biology,Marine Biology & Hydrobiology,15.87126787216148
Mexico,2014,Biology,Marine Biology & Hydrobiology,3.1295457776093056
Chile,2014,Biology,Miscellaneous Biology,1.9933228534033829
Laos,2014,Biology,Miscellaneous Biology,2.674330767245176
Zambia,2014,Biology,Miscellaneous Biology,2.568065968546692
Indonesia,2014,Biology,Miscellaneous Zoology,6.105646060730503
Oman,2014,Biology,Miscellaneous Zoology,1.2545653989504255
Syria,2014,Biology,Miscellaneous Zoology,3.3404693152776392
Venezuela,2014,Biomedical Research,Anatomy & Morphology,3.2382918362769217
Zaire,2014,Biomedical Research,Anatomy & Morphology,8.331855037087497
Argentina,2014,Biomedical Research,Biochemistry & Molecular Biology,1.019593334503306
Ireland,2014,Biomedical Research,Biochemistry & Molecular Biology,1.000763790852382
Guinea,2014,Biomedical Research,Biomedical Engineering,2.970974889154844
Croatia,2014,Arts,Performing Arts,2.8487992273751925
Burma,2014,Biology,Agricult & Food Science,1.299402048013221
Croatia,2014,Biology,Agricult & Food Science,1.5554671608063395
Federated States of Micronesia ,2014,Biology,Agricult & Food Science,3.998160147732986
St-Lucia,2014,Biology,Agricult & Food Science,17.325360640176275
Trinidad and Tobago,2014,Biology,Agricult & Food Science,2.638379792920245
Vanuatu,2014,Biology,Agricult & Food Science,2.2598296487186444
Algeria,2014,Biology,Botany,1.1692182734556031
Chad,2014,Biology,Botany,2.1023771724598928
Federated States of Micronesia ,2014,Biology,Botany,4.528196986836693
Gabon,2014,Biology,Botany,1.185232768366651
Republic of Kosovo,2014,Biology,Botany,2.504960035271362
St-Kitts & Nevis ,2014,Biology,Dairy & Animal Science,7.157435853672412
Argentina,2014,Biology,Ecology,2.511043276169852
Libya,2014,Biology,Ecology,1.3969799305153607
Mongolia,2014,Biology,Ecology,6.504287291160969
Nepal,2014,Biology,Ecology,3.507258800816833
New Zealand,2014,Biology,Ecology,3.620780919234468
Samoa,2014,Biology,Ecology,17.72418286841364
Seychelles,2014,Biology,Ecology,4.051241798494546
Estonia,2014,Arts,Performing Arts,1.050541058132528
Malta,2014,Arts,Performing Arts,3.8513155967034094
Cameroon,2014,Biology,Agricult & Food Science,2.3418510001740147
South Korea,2014,Biology,Agricult & Food Science,1.162007588056934
Uruguay,2014,Biology,Agricult & Food Science,3.708681606081805
Uzbekistan,2014,Biology,Agricult & Food Science,1.0515392296060746
Haiti,2014,Biology,Botany,1.509398995612231
Sri Lanka,2014,Biology,Botany,1.537878221944537
Tunisia,2014,Biology,Botany,2.1217914388722425
Venezuela,2014,Biology,Botany,1.3107938646106214
Zaire,2014,Biology,Botany,2.299475032378008
Bosnia & Herzegovina,2014,Biology,Dairy & Animal Science,3.873869920802079
Uruguay,2014,Arts,Fine Arts & Architecture,1.333923188108891
Czech Republic,2014,Arts,Performing Arts,1.571720695227871
Colombia,2014,Biology,Agricult & Food Science,1.4216176467239254
Honduras ,2014,Biology,Agricult & Food Science,2.2598296487186444
Panama,2014,Biology,Agricult & Food Science,1.6721527695612493
Peru,2014,Biology,Agricult & Food Science,1.752618146951446
Rwanda,2014,Biology,Agricult & Food Science,3.423574258238426
Turkey,2014,Biology,Agricult & Food Science,1.338918071491296
Colombia,2014,Biology,Botany,1.4293583008965391
Congo,2014,Biology,Botany,2.4274870444897734
Dominican Republic,2014,Biology,Botany,5.606339126559714
Guatemala,2014,Biology,Botany,2.696178358574519
Ivory Coast,2014,Biology,Botany,3.0610611631016043
Luxembourg,2014,Biology,Botany,2.061686001380024
Mauritius,2014,Biology,Botany,2.473384908776345
Nicaragua,2014,Biology,Botany,1.757210771011254
Oman,2014,Biology,Botany,1.5981871718247151
Portugal,2014,Biology,Botany,1.1956734472376735
Denmark,2014,Biology,Dairy & Animal Science,2.1777188195757846
Colombia,2014,Biology,Ecology,1.6621059011406594
Mauritania,2014,Biology,Ecology,4.889429756803763
Nicaragua,2014,Biology,Ecology,6.348961027491452
Papua New Guinea,2014,Biology,Ecology,4.232640684994301
South Africa,2014,Biology,Ecology,2.9729014344398963
Bulgaria,2014,Biology,Entomology,1.0312681389055185
Costa Rica,2014,Biology,Entomology,4.191368364551714
Libya,2014,Biology,Entomology,1.2847106098242802
Madagascar,2014,Biology,Entomology,2.63430559388211
Republic of Serbia,2014,Biology,Entomology,1.2844672473295229
Thailand,2014,Biology,Entomology,1.6679692184117112
Chile,2014,Biology,General Biology,1.8723694789712224
Costa Rica,2014,Biology,General Biology,17.68021355248686
Burma,2014,Biology,General Zoology,6.566741027043149
Cuba,2014,Biology,General Zoology,2.540939696074737
Guyana,2014,Biology,General Zoology,6.254039073374428
Botswana,2014,Biology,Agricult & Food Science,1.304059403024021
Guatemala,2014,Biology,Agricult & Food Science,1.587055936504697
Kyrgyzstan,2014,Biology,Agricult & Food Science,1.208746091175089
Republic of Serbia,2014,Biology,Agricult & Food Science,1.979009749199904
Cameroon,2014,Biology,Botany,3.757440052907042
Chile,2014,Biology,Botany,1.5207388852589816
Sudan,2014,Biology,Botany,2.494345797833771
Uzbekistan,2014,Biology,Botany,1.8714802575654537
Burkina Faso,2014,Biology,Dairy & Animal Science,1.8729738682507249
Czech Republic,2014,Biology,Ecology,1.6157805664597449
Eritrea,2014,Biology,Ecology,6.445157406695869
Uzbekistan,2014,Biology,Ecology,1.229423089138518
Egypt,2014,Biology,Entomology,3.008096072056459
Jamaica,2014,Biology,Entomology,1.2784130087957295
Mauritius,2014,Biology,Entomology,8.766260631742146
Panama,2014,Biology,Entomology,9.788599338124945
Paraguay,2014,Biology,Entomology,7.902916781646329
Trinidad and Tobago,2014,Biology,Entomology,1.323838851747862
Monaco,2014,Biology,General Biology,4.947985801795424
Portugal,2014,Biology,General Biology,1.1595490896898275
Norway,2014,Biology,General Zoology,1.198641044944733
Reunion,2014,Biology,General Zoology,3.592063467784287
Seychelles,2014,Biology,General Zoology,5.003231258699542
Barbados,2014,Biology,Marine Biology & Hydrobiology,5.925273338940286
Ethiopia,2014,Biology,Marine Biology & Hydrobiology,1.2175219189603326
Malta,2014,Biology,Marine Biology & Hydrobiology,3.957720741658588
Mozambique,2014,Biology,Marine Biology & Hydrobiology,4.653356025345774
Norway,2014,Biology,Marine Biology & Hydrobiology,4.268045504410186
Papua New Guinea,2014,Biology,Marine Biology & Hydrobiology,1.1054614438321428
Seychelles,2014,Biology,Marine Biology & Hydrobiology,29.62636669470143
Tunisia,2014,Biology,Marine Biology & Hydrobiology,2.471070203907179
Angola,2014,Biology,Miscellaneous Biology,6.803122127202638
Argentina,2014,Biology,Miscellaneous Biology,1.980929533008828
Ecuador,2014,Biology,Miscellaneous Biology,5.330281254303098
Portugal,2014,Biology,Miscellaneous Biology,1.2139234372287178
Uganda,2014,Biology,Miscellaneous Biology,1.2389072244426529
Cambodia,2014,Biology,Miscellaneous Zoology,10.89664008084016
Estonia,2014,Arts,Fine Arts & Architecture,2.6470146762473155
Netherlands,2014,Arts,Fine Arts & Architecture,1.071588595658438
Slovenia,2014,Arts,Fine Arts & Architecture,1.7514424825833552
New Zealand,2014,Arts,Performing Arts,1.6377050741229602
Bhutan,2014,Biology,Agricult & Food Science,3.465072128035255
Brazil,2014,Biology,Agricult & Food Science,3.64970370762626
Burkina Faso,2014,Biology,Agricult & Food Science,2.428788874791066
Ethiopia,2014,Biology,Agricult & Food Science,3.085338196195775
Ivory Coast,2014,Biology,Agricult & Food Science,2.9106605875496143
Nepal,2014,Biology,Agricult & Food Science,1.92844120199842
South Africa,2014,Biology,Agricult & Food Science,1.2429988469119098
Thailand,2014,Biology,Agricult & Food Science,2.4820869137717008
Angola,2014,Biology,Botany,1.0327466812083683
Ethiopia,2014,Biology,Botany,2.6342113978218933
Kazakhstan,2014,Biology,Botany,1.0048346087432776
Poland,2014,Biology,Botany,1.681639545093996
Slovakia,2014,Biology,Botany,1.5710841922636063
Spain,2014,Biology,Botany,1.399263796698277
French-Guiana,2014,Biology,Dairy & Animal Science,3.805219061446093
Germany,2014,Biology,Dairy & Animal Science,1.0053256529032266
Mali,2014,Biology,Dairy & Animal Science,2.0175322540553107
Malta,2014,Biology,Dairy & Animal Science,3.4421256395523816
Norway,2014,Biology,Dairy & Animal Science,1.2441770060825017
Republic of Serbia,2014,Biology,Dairy & Animal Science,1.3097334788118111
Uruguay,2014,Biology,Dairy & Animal Science,7.570509276497158
Austria,2014,Biology,Ecology,1.0905001162937569
Canada,2014,Biology,Ecology,1.8325142901503444
Dominican Republic,2014,Biology,Ecology,4.5013797761050505
Guadeloupe,2014,Biology,Ecology,1.6681583876154011
Laos,2014,Biology,Ecology,4.889429756803763
Senegal,2014,Biology,Ecology,2.181437891497063
Belgium,2014,Biology,Entomology,1.2770673724769204
Bolivia,2014,Biology,Entomology,5.433255287381851
Brazil,2014,Biology,Entomology,3.412873756654195
Ecuador,2014,Biology,Entomology,5.377242346274822
New-Caledonia,2014,Biology,Entomology,4.6295192981241815
Tunisia,2014,Biology,Entomology,1.0876221486805493
Albania,2014,Biology,General Biology,4.864121635663298
Czech Republic,2014,Biology,General Biology,1.0587180638371911
Jamaica,2014,Biology,General Biology,23.21187457018736
Reunion,2014,Biology,General Biology,2.207562896185651
Russia,2014,Biology,General Biology,1.7572622592180642
Uganda,2014,Biology,General Biology,1.833758316320349
Central African Republic,2014,Biology,General Zoology,10.944568378405249
Guatemala,2014,Biology,General Zoology,4.010223527965282
Pakistan,2014,Biology,General Zoology,4.092754022078591
Philippines,2014,Biology,General Zoology,2.400865042734999
Poland,2014,Biology,General Zoology,1.7402797842430888
South Africa,2014,Biology,General Zoology,2.409418493132949
Togo,2014,Biology,General Zoology,4.732786325796865
Equatorial Guinea,2014,Biology,Marine Biology & Hydrobiology,37.03295836837679
Honduras ,2014,Biology,Marine Biology & Hydrobiology,3.220257249424068
Trinidad and Tobago,2014,Biology,Marine Biology & Hydrobiology,1.5038764819645394
Estonia,2014,Biology,Miscellaneous Biology,1.4130378598406312
Panama,2014,Biology,Miscellaneous Biology,7.277334393441964
Argentina,2014,Biology,Miscellaneous Zoology,8.025999893047025
Estonia,2014,Biology,Miscellaneous Zoology,1.2989747936035383
French-Guiana,2014,Biology,Miscellaneous Zoology,31.586463019144265
Namibia,2014,Biology,Miscellaneous Zoology,24.60878282556604
Panama,2014,Biology,Miscellaneous Zoology,2.2299647707885586
Papua New Guinea,2014,Biology,Miscellaneous Zoology,6.207289996299495
Bosnia & Herzegovina,2014,Biomedical Research,Anatomy & Morphology,2.748653208111339
India,2014,Biomedical Research,Anatomy & Morphology,1.2033950653967425
Syria,2014,Biomedical Research,Anatomy & Morphology,4.283041946775901
Denmark,2014,Biomedical Research,Biochemistry & Molecular Biology,1.1799956683513988
United Kingdom,2014,Biomedical Research,Biochemistry & Molecular Biology,1.0214519595554996
Cyprus,2014,Biomedical Research,Biomedical Engineering,1.4327722395378228
Mauritius,2014,Biomedical Research,Biomedical Engineering,2.6464146071463315
Singapore,2014,Biomedical Research,Biomedical Engineering,1.868082327096641
South Korea,2014,Biomedical Research,Biomedical Engineering,1.7900821529412907
Hungary,2014,Arts,Performing Arts,2.155157382179183
Egypt,2014,Biology,Agricult & Food Science,1.108521442483531
Kenya,2014,Biology,Agricult & Food Science,2.760066402701113
Libya,2014,Biology,Agricult & Food Science,1.280199062081991
Swaziland,2014,Biology,Agricult & Food Science,1.5287082917802597
Brazil,2014,Biology,Botany,2.8137564678128126
El Salvador,2014,Biology,Botany,1.17733121657754
Guadeloupe,2014,Biology,Botany,3.4627388722868826
Honduras ,2014,Biology,Botany,1.279707844106022
Macedonia,2014,Biology,Botany,3.5258617163129458
Panama,2014,Biology,Botany,4.89239513591203
Argentina,2014,Biology,Dairy & Animal Science,2.593544698027284
Cuba,2014,Biology,Dairy & Animal Science,1.817486734306175
Slovakia,2014,Biology,Dairy & Animal Science,1.755034312743694
Chad,2014,Biology,Ecology,5.064052248118182
Denmark,2014,Biology,Ecology,1.585983097585086
Estonia,2014,Biology,Ecology,3.4691789476957458
Bangladesh,2014,Biology,Entomology,1.105068872009868
Cameroon,2014,Biology,Entomology,3.916839856735853
Ghana ,2014,Biology,Entomology,1.9732377336267
Japan,2014,Biology,Entomology,1.036719594574728
Montenegro,2014,Biology,Entomology,2.437348166302139
